locus_tag	ftype	length_bp	gene	EC_number	COG	product
FLGBHGLA_07300	CDS	1152	ttuA_2	2.8.1.-	COG0037	tRNA-5-methyluridine(54) 2-sulfurtransferase
FLGBHGLA_07300	gene	1152	ttuA_2			
FLGBHGLA_07310	CDS	1527	rimO_2	2.8.4.4		Ribosomal protein S12 methylthiotransferase RimO
FLGBHGLA_07310	gene	1527	rimO_2			
FLGBHGLA_07320	CDS	276				hypothetical protein
FLGBHGLA_07320	gene	276				
FLGBHGLA_07330	CDS	441				hypothetical protein
FLGBHGLA_07330	gene	441				
FLGBHGLA_07340	CDS	663				hypothetical protein
FLGBHGLA_07340	gene	663				
FLGBHGLA_07350	CDS	2028				hypothetical protein
FLGBHGLA_07350	gene	2028				
FLGBHGLA_07360	CDS	771	pcn2		COG0592	DNA polymerase sliding clamp 2
FLGBHGLA_07360	gene	771	pcn2			
FLGBHGLA_07370	CDS	387				hypothetical protein
FLGBHGLA_07370	gene	387				
FLGBHGLA_07380	CDS	1389	cedB		COG0433	DNA import protein CedB
FLGBHGLA_07380	gene	1389	cedB			
FLGBHGLA_07390	CDS	1527	cedA			DNA import protein CedA
FLGBHGLA_07390	gene	1527	cedA			
FLGBHGLA_07400	CDS	1947	cysH_2	1.8.4.8		Phosphoadenosine phosphosulfate reductase
FLGBHGLA_07400	gene	1947	cysH_2			
FLGBHGLA_07410	CDS	264				hypothetical protein
FLGBHGLA_07410	gene	264				
FLGBHGLA_07420	CDS	567				hypothetical protein
FLGBHGLA_07420	gene	567				
FLGBHGLA_07430	CDS	360	pth	3.1.1.29	COG1990	Peptidyl-tRNA hydrolase
FLGBHGLA_07430	gene	360	pth			
FLGBHGLA_07440	CDS	1005		2.1.1.218	COG2419	tRNA (adenine(9)-N1)-methyltransferase
FLGBHGLA_07440	gene	1005				
FLGBHGLA_07450	CDS	879				Iron-sulfur cluster carrier protein
FLGBHGLA_07450	gene	879				
FLGBHGLA_07460	CDS	261			COG2053	30S ribosomal protein S28e
FLGBHGLA_07460	gene	261				
FLGBHGLA_07470	CDS	177			COG2075	50S ribosomal protein L24e
FLGBHGLA_07470	gene	177				
FLGBHGLA_07480	CDS	444	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
FLGBHGLA_07480	gene	444	ndk			
FLGBHGLA_07490	CDS	471				hypothetical protein
FLGBHGLA_07490	gene	471				
FLGBHGLA_07500	CDS	867				hypothetical protein
FLGBHGLA_07500	gene	867				
FLGBHGLA_07510	CDS	1071	lysY	1.2.1.-	COG0002	[LysW]-L-2-aminoadipate/[LysW]-L-glutamate phosphate reductase
FLGBHGLA_07510	gene	1071	lysY			
FLGBHGLA_07520	CDS	1314				hypothetical protein
FLGBHGLA_07520	gene	1314				
FLGBHGLA_07530	CDS	1029				hypothetical protein
FLGBHGLA_07530	gene	1029				
FLGBHGLA_07540	CDS	765	livG_1		COG0411	putative branched-chain amino acid transport ATP-binding protein LivG
FLGBHGLA_07540	gene	765	livG_1			
FLGBHGLA_07550	CDS	732	livG_2		COG0411	putative branched-chain amino acid transport ATP-binding protein LivG
FLGBHGLA_07550	gene	732	livG_2			
FLGBHGLA_07560	CDS	666	pyrH	2.7.4.22	COG0528	Uridylate kinase
FLGBHGLA_07560	gene	666	pyrH			
FLGBHGLA_07570	CDS	825				hypothetical protein
FLGBHGLA_07570	gene	825				
FLGBHGLA_07580	CDS	1758	herA_2	3.6.4.12	COG0433	DNA double-strand break repair helicase HerA
FLGBHGLA_07580	gene	1758	herA_2			
FLGBHGLA_07590	CDS	1029				hypothetical protein
FLGBHGLA_07590	gene	1029				
FLGBHGLA_07600	CDS	312				hypothetical protein
FLGBHGLA_07600	gene	312				
FLGBHGLA_07610	CDS	144				hypothetical protein
FLGBHGLA_07610	gene	144				
FLGBHGLA_07620	CDS	1362	pepA	3.4.11.10		cytosol aminopeptidase
FLGBHGLA_07620	gene	1362	pepA			
FLGBHGLA_07630	CDS	369				hypothetical protein
FLGBHGLA_07630	gene	369				
FLGBHGLA_07640	CDS	315				hypothetical protein
FLGBHGLA_07640	gene	315				
FLGBHGLA_07650	CDS	909				Iron-sulfur cluster carrier protein
FLGBHGLA_07650	gene	909				
FLGBHGLA_07660	CDS	600				hypothetical protein
FLGBHGLA_07660	gene	600				
FLGBHGLA_07670	CDS	639				hypothetical protein
FLGBHGLA_07670	gene	639				
FLGBHGLA_07680	CDS	735				hypothetical protein
FLGBHGLA_07680	gene	735				
FLGBHGLA_07690	CDS	456				hypothetical protein
FLGBHGLA_07690	gene	456				
FLGBHGLA_07700	CDS	663				hypothetical protein
FLGBHGLA_07700	gene	663				
FLGBHGLA_07710	CDS	1026	metE_1	2.1.1.-	COG0620	Methionine synthase
FLGBHGLA_07710	gene	1026	metE_1			
FLGBHGLA_07720	CDS	999	metE_2	2.1.1.14		5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
FLGBHGLA_07720	gene	999	metE_2			
FLGBHGLA_07730	CDS	579	ubiE_2	2.1.1.163		Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
FLGBHGLA_07730	gene	579	ubiE_2			
FLGBHGLA_07740	CDS	1212				hypothetical protein
FLGBHGLA_07740	gene	1212				
FLGBHGLA_07750	CDS	831				hypothetical protein
FLGBHGLA_07750	gene	831				
FLGBHGLA_07760	CDS	93				hypothetical protein
FLGBHGLA_07760	gene	93				
FLGBHGLA_07770	CDS	1080	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
FLGBHGLA_07770	gene	1080	asd			
FLGBHGLA_07780	CDS	627				hypothetical protein
FLGBHGLA_07780	gene	627				
FLGBHGLA_07790	CDS	852	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
FLGBHGLA_07790	gene	852	hisG			
FLGBHGLA_07800	CDS	855				hypothetical protein
FLGBHGLA_07800	gene	855				
FLGBHGLA_07810	CDS	471	cmk	2.7.4.25		Cytidylate kinase
FLGBHGLA_07810	gene	471	cmk			
FLGBHGLA_07820	CDS	855			COG0489	Iron-sulfur cluster carrier protein
FLGBHGLA_07820	gene	855				
FLGBHGLA_07830	CDS	966	mvk	2.7.1.36	COG1577	Mevalonate kinase
FLGBHGLA_07830	gene	966	mvk			
FLGBHGLA_07840	CDS	609				hypothetical protein
FLGBHGLA_07840	gene	609				
FLGBHGLA_07850	CDS	273				hypothetical protein
FLGBHGLA_07850	gene	273				
FLGBHGLA_07860	CDS	1410	aubA		COG1530	RNA-binding protein AU-1
FLGBHGLA_07860	gene	1410	aubA			
FLGBHGLA_07870	CDS	501				hypothetical protein
FLGBHGLA_07870	gene	501				
FLGBHGLA_07880	CDS	516	carS	2.7.7.67	COG0575	CDP-archaeol synthase
FLGBHGLA_07880	gene	516	carS			
FLGBHGLA_07890	CDS	195			COG2260	Ribosome biogenesis protein Nop10
FLGBHGLA_07890	gene	195				
FLGBHGLA_07900	CDS	798	eif2a		COG1093	Translation initiation factor 2 subunit alpha
FLGBHGLA_07900	gene	798	eif2a			
FLGBHGLA_07910	CDS	555				hypothetical protein
FLGBHGLA_07910	gene	555				
FLGBHGLA_07920	CDS	393	rps8e		COG2007	30S ribosomal protein S8e
FLGBHGLA_07920	gene	393	rps8e			
FLGBHGLA_07930	CDS	300			COG1400	Signal recognition particle 19 kDa protein
FLGBHGLA_07930	gene	300				
FLGBHGLA_07940	CDS	201				hypothetical protein
FLGBHGLA_07940	gene	201				
FLGBHGLA_07950	CDS	1074				hypothetical protein
FLGBHGLA_07950	gene	1074				
FLGBHGLA_07960	CDS	285				hypothetical protein
FLGBHGLA_07960	gene	285				
FLGBHGLA_07970	CDS	696				hypothetical protein
FLGBHGLA_07970	gene	696				
FLGBHGLA_07980	CDS	768	hisF_2	4.1.3.-	COG0107	Imidazole glycerol phosphate synthase subunit HisF
FLGBHGLA_07980	gene	768	hisF_2			
FLGBHGLA_07990	CDS	300				hypothetical protein
FLGBHGLA_07990	gene	300				
FLGBHGLA_08000	CDS	1005	mraY	2.7.8.13		Phospho-N-acetylmuramoyl-pentapeptide-transferase
FLGBHGLA_08000	gene	1005	mraY			
FLGBHGLA_08010	CDS	396				hypothetical protein
FLGBHGLA_08010	gene	396				
FLGBHGLA_08020	CDS	1086				hypothetical protein
FLGBHGLA_08020	gene	1086				
FLGBHGLA_08030	CDS	300			COG2139	50S ribosomal protein L21e
FLGBHGLA_08030	gene	300				
FLGBHGLA_08040	CDS	453				hypothetical protein
FLGBHGLA_08040	gene	453				
FLGBHGLA_08050	CDS	318				hypothetical protein
FLGBHGLA_08050	gene	318				
FLGBHGLA_08060	CDS	444				hypothetical protein
FLGBHGLA_08060	gene	444				
FLGBHGLA_08070	CDS	573				hypothetical protein
FLGBHGLA_08070	gene	573				
FLGBHGLA_08080	CDS	885				hypothetical protein
FLGBHGLA_08080	gene	885				
FLGBHGLA_08090	CDS	609				hypothetical protein
FLGBHGLA_08090	gene	609				
FLGBHGLA_08100	CDS	522				hypothetical protein
FLGBHGLA_08100	gene	522				
FLGBHGLA_08110	CDS	783	nadX_1	1.4.1.21		L-aspartate dehydrogenase
FLGBHGLA_08110	gene	783	nadX_1			
FLGBHGLA_08120	CDS	678				hypothetical protein
FLGBHGLA_08120	gene	678				
FLGBHGLA_08130	CDS	606			COG0794	putative protein
FLGBHGLA_08130	gene	606				
FLGBHGLA_08140	CDS	858				hypothetical protein
FLGBHGLA_08140	gene	858				
FLGBHGLA_08150	CDS	324				hypothetical protein
FLGBHGLA_08150	gene	324				
FLGBHGLA_08160	CDS	663	nep1_1	2.1.1.-	COG1756	Ribosomal RNA small subunit methyltransferase Nep1
FLGBHGLA_08160	gene	663	nep1_1			
FLGBHGLA_08170	CDS	450				hypothetical protein
FLGBHGLA_08170	gene	450				
FLGBHGLA_08180	CDS	264			COG1997	50S ribosomal protein L37Ae
FLGBHGLA_08180	gene	264				
FLGBHGLA_08190	CDS	543			COG2136	putative Brix domain-containing ribosomal biogenesis protein
FLGBHGLA_08190	gene	543				
FLGBHGLA_08200	CDS	240				hypothetical protein
FLGBHGLA_08200	gene	240				
FLGBHGLA_08210	CDS	765		3.6.5.-	COG1100	GPN-loop GTPase
FLGBHGLA_08210	gene	765				
FLGBHGLA_08220	CDS	1101				hypothetical protein
FLGBHGLA_08220	gene	1101				
FLGBHGLA_08230	CDS	180				hypothetical protein
FLGBHGLA_08230	gene	180				
FLGBHGLA_08240	CDS	1041	htpX	3.4.24.-		Protease HtpX
FLGBHGLA_08240	gene	1041	htpX			
FLGBHGLA_08250	CDS	1014				hypothetical protein
FLGBHGLA_08250	gene	1014				
FLGBHGLA_08260	CDS	660	dmsB_2		COG0437	Putative dimethyl sulfoxide reductase iron-sulfur subunit B
FLGBHGLA_08260	gene	660	dmsB_2			
FLGBHGLA_08270	CDS	2505	narG	1.7.99.4		Respiratory nitrate reductase subunit alpha
FLGBHGLA_08270	gene	2505	narG			
FLGBHGLA_08280	CDS	942				hypothetical protein
FLGBHGLA_08280	gene	942				
FLGBHGLA_08290	CDS	1083	fni	5.3.3.2		Isopentenyl-diphosphate delta-isomerase
FLGBHGLA_08290	gene	1083	fni			
FLGBHGLA_08300	CDS	570	hisB	4.2.1.19	COG0131	Imidazoleglycerol-phosphate dehydratase
FLGBHGLA_08300	gene	570	hisB			
FLGBHGLA_08310	CDS	126				hypothetical protein
FLGBHGLA_08310	gene	126				
FLGBHGLA_08320	CDS	1962				hypothetical protein
FLGBHGLA_08320	gene	1962				
FLGBHGLA_08330	CDS	141				hypothetical protein
FLGBHGLA_08330	gene	141				
FLGBHGLA_08340	CDS	996				hypothetical protein
FLGBHGLA_08340	gene	996				
FLGBHGLA_08350	CDS	873				hypothetical protein
FLGBHGLA_08350	gene	873				
FLGBHGLA_08360	CDS	345				hypothetical protein
FLGBHGLA_08360	gene	345				
FLGBHGLA_08370	CDS	234				Ferredoxin
FLGBHGLA_08370	gene	234				
FLGBHGLA_08380	CDS	360	pfdB		COG1382	Prefoldin subunit beta
FLGBHGLA_08380	gene	360	pfdB			
FLGBHGLA_08390	CDS	291				hypothetical protein
FLGBHGLA_08390	gene	291				
FLGBHGLA_08400	CDS	954				hypothetical protein
FLGBHGLA_08400	gene	954				
FLGBHGLA_08410	CDS	1242				hypothetical protein
FLGBHGLA_08410	gene	1242				
FLGBHGLA_08420	CDS	630				hypothetical protein
FLGBHGLA_08420	gene	630				
FLGBHGLA_08430	CDS	891				hypothetical protein
FLGBHGLA_08430	gene	891				
FLGBHGLA_08440	CDS	993		2.1.1.256	COG0116	tRNA (guanine(6)-N2)-methyltransferase
FLGBHGLA_08440	gene	993				
FLGBHGLA_08450	CDS	642				hypothetical protein
FLGBHGLA_08450	gene	642				
FLGBHGLA_08460	CDS	267	samp3			Small archaeal modifier protein 3
FLGBHGLA_08460	gene	267	samp3			
FLGBHGLA_08470	CDS	756				hypothetical protein
FLGBHGLA_08470	gene	756				
FLGBHGLA_08480	CDS	807				hypothetical protein
FLGBHGLA_08480	gene	807				
FLGBHGLA_08490	CDS	1278				hypothetical protein
FLGBHGLA_08490	gene	1278				
FLGBHGLA_08500	CDS	195				hypothetical protein
FLGBHGLA_08500	gene	195				
FLGBHGLA_08510	CDS	540				hypothetical protein
FLGBHGLA_08510	gene	540				
FLGBHGLA_08520	CDS	420	hypA		COG0375	Hydrogenase maturation factor HypA
FLGBHGLA_08520	gene	420	hypA			
FLGBHGLA_08530	CDS	1779		2.1.1.-	COG1964	7,8-dihydro-6-hydroxymethylpterin dimethyltransferase
FLGBHGLA_08530	gene	1779				
FLGBHGLA_08540	CDS	363				hypothetical protein
FLGBHGLA_08540	gene	363				
FLGBHGLA_08550	CDS	294				hypothetical protein
FLGBHGLA_08550	gene	294				
FLGBHGLA_08560	CDS	1263				hypothetical protein
FLGBHGLA_08560	gene	1263				
FLGBHGLA_08570	CDS	456				hypothetical protein
FLGBHGLA_08570	gene	456				
FLGBHGLA_08580	CDS	750				hypothetical protein
FLGBHGLA_08580	gene	750				
FLGBHGLA_08590	CDS	678				hypothetical protein
FLGBHGLA_08590	gene	678				
FLGBHGLA_08600	CDS	540				hypothetical protein
FLGBHGLA_08600	gene	540				
FLGBHGLA_08610	CDS	198				hypothetical protein
FLGBHGLA_08610	gene	198				
FLGBHGLA_08620	CDS	399				hypothetical protein
FLGBHGLA_08620	gene	399				
FLGBHGLA_08630	CDS	627				hypothetical protein
FLGBHGLA_08630	gene	627				
FLGBHGLA_08640	CDS	570				hypothetical protein
FLGBHGLA_08640	gene	570				
FLGBHGLA_08650	CDS	168			COG1552	50S ribosomal protein L40e
FLGBHGLA_08650	gene	168				
FLGBHGLA_08660	CDS	963				hypothetical protein
FLGBHGLA_08660	gene	963				
FLGBHGLA_08670	CDS	492				hypothetical protein
FLGBHGLA_08670	gene	492				
FLGBHGLA_08680	CDS	1206	nreA		COG1602	DNA repair protein NreA
FLGBHGLA_08680	gene	1206	nreA			
FLGBHGLA_08690	CDS	507				hypothetical protein
FLGBHGLA_08690	gene	507				
FLGBHGLA_08700	CDS	708	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
FLGBHGLA_08700	gene	708	purC			
FLGBHGLA_08710	CDS	273	purS	6.3.5.3		Phosphoribosylformylglycinamidine synthase subunit PurS
FLGBHGLA_08710	gene	273	purS			
FLGBHGLA_08720	CDS	660	purQ	3.5.1.2		Phosphoribosylformylglycinamidine synthase subunit PurQ
FLGBHGLA_08720	gene	660	purQ			
FLGBHGLA_08730	CDS	612				hypothetical protein
FLGBHGLA_08730	gene	612				
FLGBHGLA_08740	CDS	2919				hypothetical protein
FLGBHGLA_08740	gene	2919				
FLGBHGLA_08750	CDS	699				hypothetical protein
FLGBHGLA_08750	gene	699				
FLGBHGLA_08760	CDS	1311	cca	2.7.7.72		CCA-adding enzyme
FLGBHGLA_08760	gene	1311	cca			
FLGBHGLA_08770	CDS	558		3.1.4.-	COG1514	RNA 2',3'-cyclic phosphodiesterase
FLGBHGLA_08770	gene	558				
FLGBHGLA_08780	CDS	342	tfs			Transcription factor S
FLGBHGLA_08780	gene	342	tfs			
FLGBHGLA_08790	CDS	1383	thrS-cat	6.1.1.3	COG0441	Threonine--tRNA ligase catalytic subunit
FLGBHGLA_08790	gene	1383	thrS-cat			
FLGBHGLA_08800	CDS	738	pcn		COG0592	DNA polymerase sliding clamp
FLGBHGLA_08800	gene	738	pcn			
FLGBHGLA_08810	CDS	1077	priS	2.7.7.-	COG1467	DNA primase small subunit PriS
FLGBHGLA_08810	gene	1077	priS			
FLGBHGLA_08820	CDS	672				hypothetical protein
FLGBHGLA_08820	gene	672				
FLGBHGLA_08830	CDS	198				hypothetical protein
FLGBHGLA_08830	gene	198				
FLGBHGLA_08840	CDS	774		3.5.5.1	COG0388	Nitrilase
FLGBHGLA_08840	gene	774				
FLGBHGLA_08850	CDS	375				hypothetical protein
FLGBHGLA_08850	gene	375				
FLGBHGLA_08860	CDS	1215		2.6.1.57		Aromatic-amino-acid aminotransferase 1
FLGBHGLA_08860	gene	1215				
FLGBHGLA_08870	CDS	480			COG0184	30S ribosomal protein S15
FLGBHGLA_08870	gene	480				
FLGBHGLA_08880	CDS	1296				hypothetical protein
FLGBHGLA_08880	gene	1296				
FLGBHGLA_08890	CDS	237				hypothetical protein
FLGBHGLA_08890	gene	237				
FLGBHGLA_08900	CDS	639	rps3ae		COG1890	30S ribosomal protein S3Ae
FLGBHGLA_08900	gene	639	rps3ae			
FLGBHGLA_08910	CDS	639		3.2.2.-		G/T mismatches repair enzyme
FLGBHGLA_08910	gene	639				
FLGBHGLA_08920	CDS	429				hypothetical protein
FLGBHGLA_08920	gene	429				
FLGBHGLA_08930	CDS	231				hypothetical protein
FLGBHGLA_08930	gene	231				
FLGBHGLA_08940	CDS	783	queC	6.3.4.20		7-cyano-7-deazaguanine synthase
FLGBHGLA_08940	gene	783	queC			
FLGBHGLA_08950	CDS	1095	cofH_1	2.5.1.77	COG1060	FO synthase subunit 2
FLGBHGLA_08950	gene	1095	cofH_1			
FLGBHGLA_08960	CDS	1419				hypothetical protein
FLGBHGLA_08960	gene	1419				
FLGBHGLA_08970	CDS	1023				hypothetical protein
FLGBHGLA_08970	gene	1023				
FLGBHGLA_08980	CDS	1164				hypothetical protein
FLGBHGLA_08980	gene	1164				
FLGBHGLA_08990	CDS	1149				hypothetical protein
FLGBHGLA_08990	gene	1149				
FLGBHGLA_09000	CDS	1128	glmU_2		COG1208	Bifunctional protein GlmU
FLGBHGLA_09000	gene	1128	glmU_2			
FLGBHGLA_09010	CDS	1545				hypothetical protein
FLGBHGLA_09010	gene	1545				
FLGBHGLA_09020	CDS	816	mqnD	4.1.-.-		1,4-dihydroxy-6-naphtoate synthase
FLGBHGLA_09020	gene	816	mqnD			
FLGBHGLA_09030	CDS	1368				hypothetical protein
FLGBHGLA_09030	gene	1368				
FLGBHGLA_09040	CDS	636	pcm	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
FLGBHGLA_09040	gene	636	pcm			
FLGBHGLA_09050	CDS	360				hypothetical protein
FLGBHGLA_09050	gene	360				
FLGBHGLA_09060	CDS	1290	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
FLGBHGLA_09060	gene	1290	hisS			
FLGBHGLA_09070	CDS	564	ppa	3.6.1.1	COG0221	Inorganic pyrophosphatase
FLGBHGLA_09070	gene	564	ppa			
FLGBHGLA_09080	CDS	486				hypothetical protein
FLGBHGLA_09080	gene	486				
FLGBHGLA_09090	CDS	477				hypothetical protein
FLGBHGLA_09090	gene	477				
FLGBHGLA_09100	CDS	945				hypothetical protein
FLGBHGLA_09100	gene	945				
FLGBHGLA_09110	CDS	225				hypothetical protein
FLGBHGLA_09110	gene	225				
FLGBHGLA_09120	CDS	1371		5.4.2.2	COG1109	Phosphoglucomutase/phosphomannomutase
FLGBHGLA_09120	gene	1371				
FLGBHGLA_09130	CDS	1107	mthK		COG1226	Calcium-gated potassium channel MthK
FLGBHGLA_09130	gene	1107	mthK			
FLGBHGLA_09140	CDS	804				hypothetical protein
FLGBHGLA_09140	gene	804				
FLGBHGLA_09150	CDS	1278	thiDN		COG0351	Bifunctional thiamine biosynthesis protein ThiDN
FLGBHGLA_09150	gene	1278	thiDN			
FLGBHGLA_09160	CDS	1659	lon_1	3.4.21.-	COG1067	Archaeal Lon protease
FLGBHGLA_09160	gene	1659	lon_1			
FLGBHGLA_09170	CDS	693				hypothetical protein
FLGBHGLA_09170	gene	693				
FLGBHGLA_09180	CDS	939	dxs_1	2.2.1.7		1-deoxy-D-xylulose-5-phosphate synthase
FLGBHGLA_09180	gene	939	dxs_1			
FLGBHGLA_09190	CDS	1047	aroQ	5.4.99.5	COG1605	Chorismate mutase
FLGBHGLA_09190	gene	1047	aroQ			
FLGBHGLA_09200	CDS	96				hypothetical protein
FLGBHGLA_09200	gene	96				
FLGBHGLA_09210	CDS	150				hypothetical protein
FLGBHGLA_09210	gene	150				
FLGBHGLA_09220	CDS	105				hypothetical protein
FLGBHGLA_09220	gene	105				
FLGBHGLA_09230	CDS	501				hypothetical protein
FLGBHGLA_09230	gene	501				
FLGBHGLA_09240	CDS	402			COG1136	putative ABC transporter ATP-binding protein
FLGBHGLA_09240	gene	402				
FLGBHGLA_09250	CDS	291				hypothetical protein
FLGBHGLA_09250	gene	291				
FLGBHGLA_09260	CDS	1626	thsB		COG0459	Thermosome subunit beta
FLGBHGLA_09260	gene	1626	thsB			
FLGBHGLA_09270	CDS	783				hypothetical protein
FLGBHGLA_09270	gene	783				
FLGBHGLA_09280	CDS	1104	sqr_2	1.8.5.4		Sulfide-quinone reductase
FLGBHGLA_09280	gene	1104	sqr_2			
FLGBHGLA_09290	CDS	1158		2.1.1.-	COG0144	tRNA (cytosine(49)-C(5))-methyltransferase
FLGBHGLA_09290	gene	1158				
FLGBHGLA_09300	CDS	972				hypothetical protein
FLGBHGLA_09300	gene	972				
FLGBHGLA_09310	CDS	1299	glmS_3	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
FLGBHGLA_09310	gene	1299	glmS_3			
FLGBHGLA_09320	CDS	546		3.1.4.-	COG0622	Phosphodiesterase
FLGBHGLA_09320	gene	546				
FLGBHGLA_09330	CDS	792	thiI_2	2.8.1.4		tRNA sulfurtransferase
FLGBHGLA_09330	gene	792	thiI_2			
FLGBHGLA_09340	CDS	357				hypothetical protein
FLGBHGLA_09340	gene	357				
FLGBHGLA_09350	CDS	711			COG0526	putative Thioredoxin
FLGBHGLA_09350	gene	711				
FLGBHGLA_09360	CDS	678			COG1632	50S ribosomal protein L15e
FLGBHGLA_09360	gene	678				
FLGBHGLA_09370	CDS	432				hypothetical protein
FLGBHGLA_09370	gene	432				
FLGBHGLA_09380	CDS	1356	tldD	3.4.-.-	COG0312	Zinc metalloprotease TldD 
FLGBHGLA_09380	gene	1356	tldD			
FLGBHGLA_09390	CDS	558	arfB	3.5.1.102	COG1402	2-amino-5-formylamino-6-ribosylaminopyrimidin-4(3H)-one 5'-monophosphate deformylase
FLGBHGLA_09390	gene	558	arfB			
FLGBHGLA_09400	CDS	987	sudA_2	1.8.1.19	COG0493	Sulfide dehydrogenase subunit alpha
FLGBHGLA_09400	gene	987	sudA_2			
FLGBHGLA_09410	CDS	663				hypothetical protein
FLGBHGLA_09410	gene	663				
FLGBHGLA_09420	CDS	921				hypothetical protein
FLGBHGLA_09420	gene	921				
FLGBHGLA_09430	CDS	834				hypothetical protein
FLGBHGLA_09430	gene	834				
FLGBHGLA_09440	CDS	426	nudF	3.6.1.13	COG1051	ADP-ribose pyrophosphatase
FLGBHGLA_09440	gene	426	nudF			
FLGBHGLA_09450	CDS	1338		3.5.1.4	COG0154	Amidase
FLGBHGLA_09450	gene	1338				
FLGBHGLA_09460	CDS	471				hypothetical protein
FLGBHGLA_09460	gene	471				
FLGBHGLA_09470	CDS	684				hypothetical protein
FLGBHGLA_09470	gene	684				
FLGBHGLA_09480	CDS	630	nep1_2	2.1.1.-	COG1756	Ribosomal RNA small subunit methyltransferase Nep1
FLGBHGLA_09480	gene	630	nep1_2			
FLGBHGLA_09490	CDS	426				hypothetical protein
FLGBHGLA_09490	gene	426				
FLGBHGLA_09500	CDS	372	crcB			Putative fluoride ion transporter CrcB
FLGBHGLA_09500	gene	372	crcB			
FLGBHGLA_09510	CDS	267				hypothetical protein
FLGBHGLA_09510	gene	267				
FLGBHGLA_09520	CDS	684				hypothetical protein
FLGBHGLA_09520	gene	684				
FLGBHGLA_09530	CDS	1050	truB	5.4.99.25	COG0130	putative tRNA pseudouridine synthase B
FLGBHGLA_09530	gene	1050	truB			
FLGBHGLA_09540	CDS	1236	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
FLGBHGLA_09540	gene	1236	trpE			
FLGBHGLA_09550	CDS	585	trpF	5.3.1.24	COG0135	N-(5'-phosphoribosyl)anthranilate isomerase
FLGBHGLA_09550	gene	585	trpF			
FLGBHGLA_09560	CDS	1176				hypothetical protein
FLGBHGLA_09560	gene	1176				
FLGBHGLA_09570	CDS	1869	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
FLGBHGLA_09570	gene	1869	argS			
FLGBHGLA_09580	CDS	372				hypothetical protein
FLGBHGLA_09580	gene	372				
FLGBHGLA_09590	CDS	258				hypothetical protein
FLGBHGLA_09590	gene	258				
FLGBHGLA_09600	CDS	1260	leuC_1	4.2.1.33	COG0065	Isopropylmalate/citramalate isomerase large subunit
FLGBHGLA_09600	gene	1260	leuC_1			
FLGBHGLA_09610	CDS	681	dmrX	1.5.99.15	COG1036	Dihydromethanopterin reductase (acceptor)
FLGBHGLA_09610	gene	681	dmrX			
FLGBHGLA_09620	CDS	573				hypothetical protein
FLGBHGLA_09620	gene	573				
FLGBHGLA_09630	CDS	1497	vat_2		COG0464	VCP-like ATPase
FLGBHGLA_09630	gene	1497	vat_2			
FLGBHGLA_09640	CDS	216				hypothetical protein
FLGBHGLA_09640	gene	216				
FLGBHGLA_09650	CDS	420	ribH	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
FLGBHGLA_09650	gene	420	ribH			
FLGBHGLA_09660	CDS	543				hypothetical protein
FLGBHGLA_09660	gene	543				
FLGBHGLA_09670	CDS	2538	leuS_2	6.1.1.4	COG0495	Leucine--tRNA ligase
FLGBHGLA_09670	gene	2538	leuS_2			
FLGBHGLA_09680	CDS	375				hypothetical protein
FLGBHGLA_09680	gene	375				
FLGBHGLA_09690	CDS	843				hypothetical protein
FLGBHGLA_09690	gene	843				
FLGBHGLA_09700	CDS	903		2.1.1.-	COG2520	tRNA 4-demethylwyosine(37)-methyltransferase Taw21
FLGBHGLA_09700	gene	903				
FLGBHGLA_09710	CDS	1785	lig	6.5.1.7	COG1793	DNA ligase
FLGBHGLA_09710	gene	1785	lig			
FLGBHGLA_09720	CDS	1101	purP_2	6.3.4.23	COG1759	5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl 5'-monophosphate synthetase
FLGBHGLA_09720	gene	1101	purP_2			
FLGBHGLA_09730	CDS	1161	lysJ	2.6.1.-	COG4992	[LysW]-aminoadipate semialdehyde/glutamate semialdehyde transaminase
FLGBHGLA_09730	gene	1161	lysJ			
FLGBHGLA_09740	CDS	426				hypothetical protein
FLGBHGLA_09740	gene	426				
FLGBHGLA_09750	CDS	1131	phnW	2.6.1.37		2-aminoethylphosphonate--pyruvate transaminase
FLGBHGLA_09750	gene	1131	phnW			
FLGBHGLA_09760	CDS	753		2.5.1.-	COG1912	Chlorinase
FLGBHGLA_09760	gene	753				
FLGBHGLA_09770	CDS	516		2.7.7.1	COG1056	Nicotinamide-nucleotide adenylyltransferase
FLGBHGLA_09770	gene	516				
FLGBHGLA_09780	CDS	414				hypothetical protein
